Company Name,Ticker Symbol,Sector,Total ESG Score,Environmental Score,Social Score,Governance Score,Highest Controversy,Overall Risk,Full-time Employees,Market Cap,Revenue Growth,YTD Return
Freeport-McMoRan,FCX,Materials,31.61,15.26,9.96,6.4,4.0,3,27200.0,55839100928,0.166,0.13%
FactSet,FDS,Financials,18.37,4.32,8.75,5.3,1.0,6,12398.0,18368344064,0.049,-4.85%
FedEx,FDX,Industrials,19.68,5.66,8.42,5.61,2.0,7,306000.0,66409852928,0.139,-13.99%
FirstEnergy,FE,Utilities,25.56,10.77,8.99,5.79,3.0,7,12042.0,22931654656,0.069,1.56%
Fiserv,FI,Financials,19.64,4.12,8.74,6.77,2.0,1,42000.0,117225758720,0.07,8.08%
Fidelity National Information Services,FIS,Financials,17.48,4.09,8.17,5.21,1.0,6,60000.0,43854315520,0.031,-7.68%
Fifth Third Bank,FITB,Financials,16.84,1.19,8.15,7.5,2.0,6,18579.0,28500453376,-0.03,-7.92%
Federal Realty,FRT,Real Estate,12.42,2.27,4.34,5.82,1.0,4,297.0,9579524096,0.058,-13.36%
Fortinet,FTNT,Information Technology,18.9,2.5,10.03,6.37,1.0,6,13986.0,74491568128,0.13,2.32%
Fortive,FTV,Industrials,34.76,16.09,13.97,4.7,1.0,6,18000.0,25830350848,0.027,-2.00%
General Dynamics,GD,Industrials,35.19,9.37,18.9,6.93,3.0,2,100000.0,72492826624,0.104,4.04%
GE Aerospace,GE,Industrials,40.55,14.24,15.41,10.9,3.0,4,125000.0,182225174528,0.058,22.18%
Gen Digital,GEN,Information Technology,16.94,3.35,8.2,5.39,2.0,1,3400.0,17151517696,0.031,-2.34%
Gilead Sciences,GILD,Health Care,22.97,1.0,14.34,7.62,2.0,2,18000.0,115367206912,0.07,20.47%
General Mills,GIS,Consumer Staples,21.13,8.32,8.72,4.09,2.0,6,34000.0,35063803904,-0.012,-6.35%
Globe Life,GL,Financials,20.35,1.58,8.28,10.49,2.0,4,3636.0,9182754816,0.052,18.48%
Corning Inc.,GLW,Information Technology,16.48,5.53,4.81,6.13,2.0,7,49800.0,40507248640,0.069,-4.17%
General Motors,GM,Consumer Discretionary,28.5,9.83,11.48,7.19,4.0,9,163000.0,56970276864,0.105,-11.28%
Alphabet Inc. (Class A),GOOGL,Communication Services,24.22,1.56,11.16,11.51,4.0,10,181269.0,2351625142272,0.151,-17.03%
Genuine Parts Company,GPC,Consumer Discretionary,13.66,4.67,5.18,3.8,2.0,6,60000.0,16090636288,0.025,1.45%
Global Payments,GPN,Financials,20.87,3.65,10.68,6.54,1.0,7,27000.0,28511076352,0.051,-12.15%
Garmin,GRMN,Consumer Discretionary,20.66,4.78,11.63,4.25,1.0,9,19900.0,40131305472,0.241,5.48%
Goldman Sachs,GS,Financials,25.45,0.88,12.76,11.82,2.0,6,46400.0,177704452096,0.042,-4.22%
W. W. Grainger,GWW,Industrials,16.0,4.54,5.55,5.91,2.0,5,23200.0,53227368448,0.043,-5.69%
Halliburton,HAL,Energy,25.63,9.79,8.9,6.94,2.0,4,48000.0,22814697472,-0.018,-6.03%
Hasbro,HAS,Consumer Discretionary,7.08,0.04,2.88,4.16,2.0,3,5502.0,8032467456,-0.148,11.14%
Huntington Bancshares,HBAN,Financials,21.84,1.97,11.19,8.68,2.0,9,19896.0,23709857792,-0.012,-8.11%
HCA Healthcare,HCA,Health Care,28.84,3.9,17.72,7.22,3.0,5,220000.0,76906029056,0.079,15.19%
Home Depot (The),HD,Consumer Discretionary,12.64,3.32,5.56,3.76,2.0,2,465000.0,389994315776,0.066,-6.03%
Hess Corporation,HES,Energy,33.11,18.93,7.2,6.98,2.0,9,1756.0,39497650176,0.133,21.26%
Hartford (The),HIG,Financials,16.63,1.81,7.24,7.58,1.0,4,18700.0,31734368256,0.095,13.70%
Hilton Worldwide,HLT,Consumer Discretionary,17.56,6.11,7.0,4.45,2.0,6,178000.0,60803608576,0.063,-8.04%
Hologic,HOLX,Health Care,25.0,4.57,12.08,8.35,1.0,7,6990.0,16260322304,0.045,-14.86%
Honeywell,HON,Industrials,28.62,10.99,10.59,7.04,3.0,6,95000.0,148464402432,0.056,-5.51%
Hewlett Packard Enterprise,HPE,Information Technology,10.69,0.95,4.14,5.6,2.0,2,62000.0,28424284160,0.101,-26.74%
HP Inc.,HPQ,Information Technology,11.26,0.11,5.05,6.09,2.0,1,58000.0,30891065344,0.024,-14.83%
Hormel Foods,HRL,Consumer Staples,30.0,13.31,10.68,6.0,3.0,8,20000.0,17392732160,-0.022,-2.01%
Henry Schein,HSIC,Health Care,13.95,2.0,5.67,6.28,2.0,5,26000.0,8705227776,0.004,-0.19%
Host Hotels & Resorts,HST,Real Estate,13.35,3.25,4.58,5.52,1.0,9,163.0,12895228928,0.092,-17.58%
Hershey Company (The),HSY,Consumer Staples,26.05,10.52,10.4,5.14,3.0,10,18650.0,34452963328,-0.014,0.16%
Hubbell Incorporated,HUBB,Industrials,19.6,5.6,9.09,4.91,0.0,3,18000.0,22906568704,0.049,-20.54%
Humana,HUM,Health Care,22.47,0.01,16.71,5.74,2.0,1,67600.0,29753559040,0.113,4.35%
IBM,IBM,Information Technology,14.14,1.78,6.22,6.14,2.0,4,282200.0,206528708608,0.015,13.88%
Intercontinental Exchange,ICE,Financials,19.78,1.7,9.25,8.82,1.0,4,12900.0,86304546816,0.173,15.09%
Idexx Laboratories,IDXX,Health Care,18.66,2.62,7.1,8.94,1.0,6,11000.0,33757788160,0.066,1.24%
IDEX Corporation,IEX,Industrials,29.34,10.28,13.72,5.34,0.0,6,8800.0,16082113536,0.006,-13.45%
International Flavors & Fragrances,IFF,Materials,22.69,10.49,5.57,6.63,3.0,4,21500.0,21922174976,0.037,-8.42%
Incyte,INCY,Health Care,24.76,1.06,16.3,7.41,1.0,7,2524.0,13262025728,0.238,-11.81%
